date,open,high,low,close,Adj Close,volume
2014-04-22,721.900024,729.599976,717.400024,727.549988,701.07019,2848956
2014-04-23,724.900024,739.450012,722.599976,733,706.321899,5256336
2014-04-24,733,733,733,733,706.321899,0
2014-04-25,733.150024,738,725,726.400024,699.962097,1553111
2014-04-28,722.25,729.25,720.549988,725.200012,698.805725,1220715
2014-04-29,726.400024,727.5,712.5,715.799988,689.747864,1660309
2014-04-30,716,729.900024,711.650024,721.299988,695.047607,2196730
2014-05-02,723.5,727.549988,715.549988,717.099976,691.000488,1478823
2014-05-05,719.849976,723.099976,714,716.700012,690.615112,1298081
2014-05-06,720.200012,724.599976,714.099976,720.200012,693.987732,1546140
2014-05-07,718.5,727,711.450012,715.599976,689.555115,1649656
2014-05-08,717.150024,723,715.5,718.299988,692.15686,1880107
2014-05-09,720,760,720,756.799988,729.255615,4094111
2014-05-12,755.099976,794.849976,754.5,792.150024,763.319031,4390340
2014-05-13,800,800,782.5,788.150024,759.4646,3166304
2014-05-14,785,794.799988,774.25,775.450012,747.226868,2125375
2014-05-15,769,791.150024,766.049988,788.349976,759.657227,2366547
2014-05-16,800,854,787.650024,804.700012,775.412231,8217092
2014-05-19,815.900024,835,808,811.900024,782.35022,2630701
2014-05-20,816,821.599976,804.349976,816.049988,786.349121,1589258
2014-05-21,812.349976,814.5,805,809.5,780.037537,910597
2014-05-22,812,815,798,802.599976,773.388733,1951614
2014-05-23,799,803,782.700012,789.650024,760.910034,2454734
2014-05-26,799,804.049988,790,797.150024,768.137024,4348808
2014-05-27,800,810.650024,788.349976,804.900024,775.60498,1904881
2014-05-28,799.900024,826.75,799.5,823.450012,793.479858,3588891
2014-05-29,822.599976,830.75,807.400024,810.25,780.760254,3421002
2014-05-30,815,822.799988,730,792.75,763.897217,8201886
2014-06-02,793.5,822.349976,793.5,819.400024,789.577271,2020783
2014-06-03,823,827.849976,814,824.349976,794.347046,906037
2014-06-04,822.400024,829.700012,815.099976,816.700012,786.975525,716085
2014-06-05,811.799988,815.400024,801,805.450012,782.699768,1918618
2014-06-06,813,821,801,815.25,792.222961,2641319
2014-06-09,821.900024,830,815,819.450012,796.304443,2334980
2014-06-10,821.150024,823.599976,810,816.650024,793.583496,1249836
2014-06-11,817,829.849976,810,820.5,797.324646,1935943
2014-06-12,824.5,844.950012,812.849976,839.849976,816.128113,3183012
2014-06-13,844,856,831.650024,835.400024,811.803833,3053221
2014-06-16,831,842.799988,830.299988,839,815.302124,1327470
2014-06-17,836,848.799988,827.349976,846.549988,822.638916,1747030
2014-06-18,847.099976,851.400024,828.75,834.849976,811.269348,1343657
2014-06-19,837.099976,839.950012,822.200012,825.75,802.426453,1180249
2014-06-20,826,831.75,819.349976,821.950012,798.733765,742442
2014-06-23,824,826.549988,815.299988,821.450012,798.247864,1460211
2014-06-24,825.349976,832.75,825,829,805.584595,1266556
2014-06-25,829,833.200012,823,824.099976,800.822998,1582656
2014-06-26,820,826.599976,808.650024,812.400024,789.453552,5452066
2014-06-27,817.849976,822,814,816.200012,793.146179,1285740
